iter	AUC	Logloss	AUC
54	0.9416928811	0.1402019307	0.9416928811
55	0.9417152575	0.1400737419	0.9417152575
56	0.9418487928	0.1398671251	0.9418487928
57	0.941853697	0.1397585469	0.941853697
58	0.9418403975	0.13963785	0.9418403975
59	0.9418830621	0.1395229004	0.9418830621
60	0.9418616286	0.1394292215	0.9418616286
61	0.9418782118	0.1393375704	0.9418782118
62	0.9430871058	0.1391221053	0.9430871058
63	0.9428863095	0.1389287854	0.9428863095
64	0.9429960584	0.138746595	0.9429960584
65	0.9430659174	0.1385458896	0.9430659174
66	0.9430469915	0.1384789779	0.9430469915
67	0.9431777128	0.1382765274	0.9431777128
68	0.9433479774	0.1381101823	0.9433479774
69	0.9436100384	0.1379920015	0.9436100384
70	0.9435776164	0.1378673697	0.9435776164
71	0.9435347737	0.1378217348	0.9435347737
72	0.9434651164	0.1376810222	0.9434651164
73	0.9436834659	0.1375795379	0.9436834659
74	0.9437670033	0.1374425843	0.9437670033
75	0.9438519992	0.1373406744	0.9438519992
76	0.9438843717	0.1372642867	0.9438843717
77	0.9439331922	0.1371742634	0.9439331922
78	0.9440342962	0.1370307116	0.9440342962
79	0.944201314	0.1369440883	0.944201314
80	0.944228503	0.1368720625	0.944228503
81	0.9442307496	0.1367870064	0.9442307496
82	0.9442626495	0.1367008746	0.9442626495
83	0.944285041	0.1366644907	0.944285041
84	0.9443583794	0.136624901	0.9443583794
85	0.9444139287	0.1365735504	0.9444139287
86	0.9444094219	0.1365388392	0.9444094219
87	0.944448039	0.1364843699	0.944448039
88	0.9444305358	0.1364572153	0.9444305358
89	0.94448439	0.13643086	0.94448439
90	0.9444991168	0.1363914225	0.9444991168
91	0.9444959679	0.1363600945	0.9444959679
92	0.9444825448	0.1363082052	0.9444825448
93	0.9445180521	0.1362688865	0.9445180521
94	0.9445168143	0.1362470594	0.9445168143
95	0.9445644097	0.1362136849	0.9445644097
96	0.9445684514	0.1361647335	0.9445684514
97	0.9445075176	0.1361356287	0.9445075176
98	0.9445121137	0.1360936831	0.9445121137
99	0.944546861	0.1360486383	0.944546861
100	0.9446250823	0.1360071031	0.9446250823
101	0.9446438487	0.1359914311	0.9446438487
102	0.944648176	0.1359593301	0.944648176
103	0.9446626222	0.1359303168	0.9446626222
104	0.9446889563	0.1359069105	0.9446889563
105	0.9447789878	0.135828472	0.9447789878
106	0.9447801446	0.1357997004	0.9447801446
107	0.944786632	0.1357757642	0.944786632
108	0.9447812828	0.1357492961	0.9447812828
109	0.9449058207	0.1357258111	0.9449058207
110	0.9448813006	0.1357041955	0.9448813006
111	0.9448853814	0.1356872705	0.9448853814
112	0.9449293444	0.1356593263	0.9449293444
113	0.9450507237	0.1356401928	0.9450507237
114	0.9449626123	0.135619486	0.9449626123
115	0.9449399171	0.1355950738	0.9449399171
116	0.9450739766	0.1355810935	0.9450739766
117	0.9451024971	0.1355535354	0.9451024971
118	0.9450218311	0.1355363042	0.9450218311
119	0.9450193533	0.1355191042	0.9450193533
120	0.9450354842	0.1354840122	0.9450354842
121	0.9450123508	0.1354588492	0.9450123508
122	0.9450251998	0.1354418828	0.9450251998
123	0.9450053463	0.1354197581	0.9450053463
124	0.9450081519	0.1353983275	0.9450081519
125	0.9450398377	0.1353874364	0.9450398377
126	0.9450366674	0.135373514	0.9450366674
127	0.9450648475	0.1353620947	0.9450648475
128	0.945036756	0.1352970672	0.945036756
129	0.9450500196	0.1352893052	0.9450500196
130	0.9450459299	0.1352792177	0.9450459299
131	0.9450708123	0.1352169949	0.9450708123
132	0.9451024171	0.1352000796	0.9451024171
133	0.9451026713	0.1351802712	0.9451026713
134	0.9450904146	0.1351625179	0.9450904146
135	0.9453269659	0.135152194	0.9453269659
136	0.9454227744	0.1351369858	0.9454227744
137	0.9454438236	0.135125011	0.9454438236
138	0.9454136484	0.1351163514	0.9454136484
139	0.9454282451	0.1351078756	0.9454282451
140	0.9457979592	0.1350689861	0.9457979592
141	0.945788746	0.1350349168	0.945788746
142	0.945758747	0.1350210643	0.945758747
143	0.9457661155	0.1349885869	0.9457661155
144	0.9457831787	0.1349813938	0.9457831787
145	0.9458502447	0.1349732247	0.9458502447
146	0.9458436418	0.1349659892	0.9458436418
147	0.9458317389	0.1349510535	0.9458317389
148	0.9459419649	0.1348332949	0.9459419649
149	0.9461216362	0.1347935948	0.9461216362
150	0.946138471	0.134786567	0.946138471
151	0.9461436582	0.1347750015	0.9461436582
152	0.9461091761	0.1347654966	0.9461091761
153	0.9461373858	0.1347550875	0.9461373858
154	0.9461330413	0.1347455065	0.9461330413
155	0.9461445789	0.1347387978	0.9461445789
156	0.9464965207	0.134691766	0.9464965207
157	0.9464230542	0.1346230188	0.9464230542
158	0.946457666	0.1346086707	0.946457666
159	0.9465340873	0.1346003213	0.9465340873
160	0.9465325006	0.134591465	0.9465325006
161	0.9466091972	0.1345626936	0.9466091972
162	0.9466148875	0.1345563593	0.9466148875
163	0.9466231481	0.1345493888	0.9466231481
164	0.9466203312	0.1345395497	0.9466203312
165	0.9466479109	0.1345076477	0.9466479109
166	0.9466374331	0.1345001699	0.9466374331
167	0.9466538729	0.1344959911	0.9466538729
168	0.9466566787	0.1344895475	0.9466566787
169	0.9466749591	0.1344849954	0.9466749591
170	0.9466769089	0.1344793262	0.9466769089
171	0.9467187103	0.134470102	0.9467187103
172	0.9468523895	0.134371327	0.9468523895
173	0.9471310782	0.1342512243	0.9471310782
174	0.9471125875	0.1342398842	0.9471125875
175	0.9473352207	0.1341303986	0.9473352207
176	0.9473293138	0.1341188268	0.9473293138
177	0.9474723849	0.1340395009	0.9474723849
178	0.9475329292	0.134002941	0.9475329292
179	0.9476473862	0.1339095072	0.9476473862
180	0.9476594952	0.1339063853	0.9476594952
181	0.9476661187	0.1339017163	0.9476661187
182	0.9476487525	0.1338978733	0.9476487525
183	0.9476648411	0.1338918217	0.9476648411
184	0.9476589099	0.133861811	0.9476589099
185	0.9476424058	0.1338524302	0.9476424058
186	0.9477408403	0.133810467	0.9477408403
187	0.9477160306	0.1337843831	0.9477160306
188	0.9477077799	0.1337791068	0.9477077799
189	0.9476829605	0.1337706767	0.9476829605
190	0.9478582545	0.1336855489	0.9478582545
191	0.94787757	0.1336811753	0.94787757
192	0.9479637197	0.1336481469	0.9479637197
193	0.947979099	0.1336455389	0.947979099
194	0.9479735326	0.1336436811	0.9479735326
195	0.9480575041	0.1335846644	0.9480575041
196	0.9480616293	0.1335792956	0.9480616293
197	0.9480809911	0.1335227712	0.9480809911
198	0.9480733898	0.1335188904	0.9480733898
199	0.9481050167	0.133512243	0.9481050167
